X,Y,Concentration_Ground
-1000.0,-1000.0,0.0
-1000.0,-980.0,0.0
-1000.0,-960.0,0.0
-1000.0,-940.0,0.0
-1000.0,-920.0,0.0
-1000.0,-900.0,0.0
-1000.0,-880.0,0.0
-1000.0,-860.0,0.0
-1000.0,-840.0,0.0
-1000.0,-820.0,0.0
-1000.0,-800.0,0.0
-1000.0,-780.0,0.0
-1000.0,-760.0,0.0
-1000.0,-740.0,0.0
-1000.0,-720.0,0.0
-1000.0,-700.0,0.0
-1000.0,-680.0,0.0
-1000.0,-660.0,0.0
-1000.0,-640.0,0.0
-1000.0,-620.0,0.0
-1000.0,-600.0,0.0
-1000.0,-580.0,0.0
-1000.0,-560.0,0.0
-1000.0,-540.0,0.0
-1000.0,-520.0,0.0
-1000.0,-500.0,0.0
-1000.0,-480.0,0.0
-1000.0,-460.0,0.0
-1000.0,-440.0,0.0
-1000.0,-420.0,0.0
-1000.0,-400.0,0.0
-1000.0,-380.0,0.0
-1000.0,-360.0,0.0
-1000.0,-340.0,0.0
-1000.0,-320.0,0.0
-1000.0,-300.0,0.0
-1000.0,-280.0,0.0
-1000.0,-260.0,0.0
-1000.0,-240.0,0.0
-1000.0,-220.0,0.0
-1000.0,-200.0,0.0
-1000.0,-180.0,0.0
-1000.0,-160.0,0.0
-1000.0,-140.0,0.0
-1000.0,-120.0,0.0
-1000.0,-100.0,0.0
-1000.0,-80.0,0.0
-1000.0,-60.0,0.0
-1000.0,-40.0,0.0
-1000.0,-20.0,0.0
-1000.0,0.0,0.0
-1000.0,20.0,0.0
-1000.0,40.0,0.0
-1000.0,60.0,0.0
-1000.0,80.0,0.0
-1000.0,100.0,0.0
-1000.0,120.0,0.0
-1000.0,140.0,0.0
-1000.0,160.0,0.0
-1000.0,180.0,0.0
-1000.0,200.0,0.0
-1000.0,220.0,0.0
-1000.0,240.0,0.0
-1000.0,260.0,0.0
-1000.0,280.0,0.0
-1000.0,300.0,0.0
-1000.0,320.0,0.0
-1000.0,340.0,0.0
-1000.0,360.0,0.0
-1000.0,380.0,0.0
-1000.0,400.0,0.0
-1000.0,420.0,0.0
-1000.0,440.0,0.0
-1000.0,460.0,0.0
-1000.0,480.0,0.0
-1000.0,500.0,0.0
-1000.0,520.0,0.0
-1000.0,540.0,0.0
-1000.0,560.0,0.0
-1000.0,580.0,0.0
-1000.0,600.0,0.0
-1000.0,620.0,0.0
-1000.0,640.0,0.0
-1000.0,660.0,0.0
-1000.0,680.0,0.0
-1000.0,700.0,0.0
-1000.0,720.0,0.0
-1000.0,740.0,0.0
-1000.0,760.0,0.0
-1000.0,780.0,0.0
-1000.0,800.0,0.0
-1000.0,820.0,0.0
-1000.0,840.0,0.0
-1000.0,860.0,0.0
-1000.0,880.0,0.0
-1000.0,900.0,0.0
-1000.0,920.0,0.0
-1000.0,940.0,0.0
-1000.0,960.0,0.0
-1000.0,980.0,0.0
-1000.0,1000.0,0.0
-980.0,-1000.0,0.0
-980.0,-980.0,1.29375586406805e-11
-980.0,-960.0,3.0140381872179566e-11
-980.0,-940.0,5.711586846105617e-11
-980.0,-920.0,1.0215926317150656e-10
-980.0,-900.0,1.7856214635805517e-10
-980.0,-880.0,3.079591986807623e-10
-980.0,-860.0,5.25475036486641e-10
-980.0,-840.0,8.876009659369508e-10
-980.0,-820.0,1.484092014469935e-09
-980.0,-800.0,2.4556313385325166e-09
-980.0,-780.0,4.019549780065916e-09
-980.0,-760.0,6.506471545595761e-09
-980.0,-740.0,1.0411295276146632e-08
-980.0,-720.0,1.6462260298552772e-08
-980.0,-700.0,2.5711754111735296e-08
-980.0,-680.0,3.96516590141319e-08
-980.0,-660.0,6.03539983756204e-08
-980.0,-640.0,9.063396937539584e-08
-980.0,-620.0,1.3422673212283784e-07
-980.0,-600.0,1.9596136320163694e-07
-980.0,-580.0,2.819053980820562e-07
-980.0,-560.0,3.9944229345788737e-07
-980.0,-540.0,5.572337894112682e-07
-980.0,-520.0,7.650124734255928e-07
-980.0,-500.0,1.0331507383709426e-06
-980.0,-480.0,1.3719651152246388e-06
-980.0,-460.0,1.790743355816862e-06
-980.0,-440.0,2.2965271454117966e-06
-980.0,-420.0,2.8927433837913056e-06
-980.0,-400.0,3.5778433951502385e-06
-980.0,-380.0,4.344167932916674e-06
-980.0,-360.0,5.177287665573462e-06
-980.0,-340.0,6.05605491102247e-06
-980.0,-320.0,6.9535298640695096e-06
-980.0,-300.0,7.838813801187735e-06
-980.0,-280.0,8.67965109680047e-06
-980.0,-260.0,9.445487036818595e-06
-980.0,-240.0,1.0110534717203827e-05
-980.0,-220.0,1.0656353320628964e-05
-980.0,-200.0,1.1073494798135677e-05
-980.0,-180.0,1.1361931050776385e-05
-980.0,-160.0,1.1530195023331106e-05
-980.0,-140.0,1.159340401860187e-05
-980.0,-120.0,1.1570527301815238e-05
-980.0,-100.0,1.1481372175540292e-05
-980.0,-80.0,1.134377669884708e-05
-980.0,-60.0,1.1171421482670212e-05
-980.0,-40.0,1.0972534000530024e-05
-980.0,-20.0,1.0749591007053421e-05
-980.0,0.0,1.049996089766273e-05
-980.0,20.0,1.0217293649584602e-05
-980.0,40.0,9.893377083469379e-06
-980.0,60.0,9.52014087964453e-06
-980.0,80.0,9.0915024590302e-06
-980.0,100.0,8.6048036798822e-06
-980.0,120.0,8.06167193730238e-06
-980.0,140.0,7.468238500918193e-06
-980.0,160.0,6.834744836489098e-06
-980.0,180.0,6.174649807034538e-06
-980.0,200.0,5.5034063433308734e-06
-980.0,220.0,4.837100032008819e-06
-980.0,240.0,4.191134567837426e-06
-980.0,260.0,3.5791158264534305e-06
-980.0,280.0,3.012036633665053e-06
-980.0,300.0,2.497808659575303e-06
-980.0,320.0,2.0411359303005247e-06
-980.0,340.0,1.6436834317758978e-06
-980.0,360.0,1.3044680834398641e-06
-980.0,380.0,1.0203885948647348e-06
-980.0,400.0,7.868133553378716e-07
-980.0,420.0,5.981578797401302e-07
-980.0,440.0,4.484012007628849e-07
-980.0,460.0,3.315100143505659e-07
-980.0,480.0,2.4175728193504126e-07
-980.0,500.0,1.739364185483105e-07
-980.0,520.0,1.234822920108764e-07
-980.0,540.0,8.65160523641465e-08
-980.0,560.0,5.983292537159683e-08
-980.0,580.0,4.085146557240532e-08
-980.0,600.0,2.7540361392249827e-08
-980.0,620.0,1.8335600970203268e-08
-980.0,640.0,1.2057331470222542e-08
-980.0,660.0,7.832543515505995e-09
-980.0,680.0,5.027047673472144e-09
-980.0,700.0,3.188179372062932e-09
-980.0,720.0,1.998255571564562e-09
-980.0,740.0,1.2379265582976026e-09
-980.0,760.0,7.58105034786643e-10
-980.0,780.0,4.5899470368146036e-10
-980.0,800.0,2.74777219304756e-10
-980.0,820.0,1.6266583665508594e-10
-980.0,840.0,9.523479867924591e-11
-980.0,860.0,5.514427749548117e-11
-980.0,880.0,3.15768537359587e-11
-980.0,900.0,1.7870647121634115e-11
-980.0,920.0,9.972151245208821e-12
-980.0,940.0,5.4394771610450185e-12
-980.0,960.0,2.8076176617015974e-12
-980.0,980.0,1.1860488721725183e-12
-980.0,1000.0,0.0
-960.0,-1000.0,0.0
-960.0,-980.0,3.678791579222407e-11
-960.0,-960.0,8.56152726281834e-11
-960.0,-940.0,1.6201513813359993e-10
-960.0,-920.0,2.893638791647449e-10
-960.0,-900.0,5.051019812657502e-10
-960.0,-880.0,8.701745579776601e-10
-960.0,-860.0,1.4835765941198784e-09
-960.0,-840.0,2.504664698455529e-09
