Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
4.0,2.2469169907188332e-69,0.0,0.0,1.1207766931928937e-75,0.0
4.5,1.1044119667968292e-61,3.955243928197517e-81,7.21554072855584e-78,6.391657904874883e-65,2.854726622646578e-87
5.0,4.017700585482649e-56,6.96367507228492e-72,2.484833317292864e-70,3.517782029810776e-58,3.458296061619701e-76
5.5,9.863598720868135e-52,1.7578490683433394e-65,1.069849402728617e-64,4.273413155672583e-53,3.8090841175186085e-69
6.0,4.1027837375039096e-48,1.7034329662936433e-60,3.6099762193073166e-60,5.213122635855837e-49,8.827378423880871e-64
6.5,4.76374362548521e-45,2.0758155430139672e-56,2.180018921684841e-56,1.3143864946777672e-45,1.9746064907026216e-59
7.0,2.1017090282560385e-42,5.851950236894315e-53,3.743762028915712e-53,1.0382005303887396e-42,8.82839688622272e-56
7.5,4.3305153084054e-40,5.501330932169887e-50,2.447996397736373e-50,3.3530500132209806e-40,1.2012187258279538e-52
8.0,4.821305599306131e-38,2.193044173803718e-47,7.430625702832567e-48,5.315236064388512e-38,6.514121330875281e-50
8.5,3.228862606435805e-36,4.3845408621550754e-45,1.2064062649882383e-45,4.716667548368461e-36,1.694581249263682e-47
9.0,1.4112007462597332e-34,4.969252035848311e-43,1.1640196631321317e-43,2.584737091559232e-34,2.4169499692686646e-45
9.5,4.288924073347935e-33,3.5017927048790103e-41,7.235431799414864e-42,9.432369715588095e-33,2.0886109821623533e-43
10.0,9.533308104130245e-32,1.648264957692553e-39,3.0867191018945383e-40,2.432172542739321e-31,1.1808868436575898e-41
10.5,1.614358467870889e-30,5.484356495852456e-38,9.507295239090287e-39,4.646856932677608e-30,4.64079472224604e-40
11.0,2.1535990330855005e-29,1.3503065608173449e-36,2.203131735807919e-37,6.837506359628704e-29,1.3307203897361797e-38
11.5,2.3271727030533425e-28,2.5537889228653923e-35,3.973857226861719e-36,7.999311713344931e-28,2.8964955869541803e-37
12.0,2.0852116019992047e-27,3.8268604823200855e-34,5.739861314260322e-35,7.641459819274674e-27,4.9447967892506034e-36
12.5,1.5803299513655565e-26,4.663237119959833e-33,6.800047780974594e-34,6.095486957538893e-26,6.80433034174347e-35
13.0,1.030375507475391e-25,4.7235777045806237e-32,6.743808639054556e-33,4.138414019426189e-25,7.723486634199207e-34
13.5,5.864767447257257e-25,4.052757730371235e-31,5.697583006423406e-32,2.430844342992208e-24,7.375359595909634e-33
14.0,2.951426829452051e-24,2.9932814189315178e-30,4.1634248735134145e-31,1.252890936980525e-23,6.026201773751501e-32
14.5,1.3278804365482222e-23,1.9299579147323557e-29,2.6663504301666414e-30,5.736338547439519e-23,4.2752005037943915e-31
15.0,5.393426653522119e-23,1.0996650073326033e-28,1.5139479232906252e-29,2.358215282706685e-22,2.667255423773721e-30
15.5,1.9947399580430865e-22,5.596840457680775e-28,7.699343768333172e-29,8.787317650868813e-22,1.4798784714814684e-29
16.0,6.769204967363364e-22,2.5686398734130576e-27,3.5388256888088847e-28,2.9927576814358488e-21,7.374309252124906e-29
16.5,2.122124177232309e-21,1.0719674034956723e-26,1.481858809829294e-27,9.385093201949232e-21,3.3292054537659157e-28
17.0,6.1833706104096696e-21,4.0984368589494847e-26,5.693812020921052e-27,2.727822018564694e-20,1.3723179195352835e-27
17.5,1.6837209085711087e-20,1.4451373766319113e-25,2.0203756585738206e-26,7.391960319635156e-20,5.20084907269582e-27
18.0,4.305648814459835e-20,4.727724394435389e-25,6.658828939392389e-26,1.8774241835865583e-19,1.8234674351652555e-26
18.5,1.0386230303977802e-19,1.4427332503214037e-24,2.0490847940584457e-25,4.490435130278447e-19,5.947768868003859e-26
19.0,2.37287141172873e-19,4.126891694257887e-24,5.915121806577905e-25,1.0157838599008186e-18,1.813986741746803e-25
19.5,5.153160934680108e-19,1.1114162908825368e-23,1.6086659845250618e-24,2.1816673055317243e-18,5.196637439439608e-25
20.0,1.0673365703800665e-18,2.8293422480846853e-23,4.137676691314847e-24,4.464595802931703e-18,1.4041736472565327e-24
20.5,2.1148354913975524e-18,6.833335264315187e-23,1.0101316123875537e-23,8.733265737716507e-18,3.592276908212589e-24
21.0,4.019820927422866e-18,1.5709576309749836e-22,2.3482310251112293e-23,1.6377379181416056e-17,8.731056786715683e-24
21.5,7.348506539381022e-18,3.4482936276560066e-22,5.213608602656786e-23,2.952220178575935e-17,2.0224693797137e-23
22.0,1.2950047888519e-17,7.247131775056367e-22,1.1085593130165048e-22,5.128091917611788e-17,4.477872298686519e-23
22.5,2.2047563345069723e-17,1.4620638255296943e-21,2.2630602736516634e-22,8.602892219253234e-17,9.501469546798064e-23
23.0,3.633549857175799e-17,2.838133302414079e-21,4.445890591967106e-22,1.3967392841288857e-16,1.9368792764326213e-22
23.5,5.807399120053474e-17,5.3126868264123724e-21,8.4232361205236245e-22,2.1988641154947392e-16,3.8017902240297977e-22
24.0,9.016781477677744e-17,9.609208929136105e-21,1.5421244938130208e-21,3.3624814069629713e-16,7.200364557691002e-22
